1548,AVAILABLE,LOW
1579,AVAILABLE,LOW
1581,AVAILABLE,LOW
1587,AVAILABLE,LOW
1604,EXHAUSTED,LOW
1613,LIMITED,MEDIUM
1639,EXHAUSTED,HIGH
1647,EXHAUSTED,MEDIUM
1705,AVAILABLE,LOW
1709,AVAILABLE,LOW
1778,AVAILABLE,LOW
1780,EXHAUSTED,HIGH
1782,AVAILABLE,LOW
1807,AVAILABLE,LOW
1819,AVAILABLE,LOW
1825,AVAILABLE,LOW
1867,AVAILABLE,LOW
1873,AVAILABLE,MEDIUM
1902,AVAILABLE,LOW
1905,EXHAUSTED,HIGH
1800,UNAVAILABLE,HIGH
1833,AVAILABLE,LOW
1844,AVAILABLE,LOW
1855,AVAILABLE,LOW
